project_operational_chars_scenario_id,project,technology,operational_type,balancing_type_project,variable_cost_per_mwh,fuel,heat_rate_curves_scenario_id,min_stable_level,unit_size_mw,startup_cost_per_mw,shutdown_cost_per_mw,startup_fuel_mmbtu_per_mw,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,ramp_up_when_on_rate,ramp_down_when_on_rate,min_up_time_hours,min_down_time_hours,charging_efficiency,discharging_efficiency,minimum_duration_hours,variable_generator_profile_scenario_id,hydro_operational_chars_scenario_id,lf_reserves_up_derate,lf_reserves_down_derate,regulation_up_derate,regulation_down_derate,frequency_response_derate,spinning_reserves_derate,lf_reserves_up_ramp_rate,lf_reserves_down_ramp_rate,regulation_up_ramp_rate,regulation_down_ramp_rate,frequency_response_ramp_rate,spinning_reserves_ramp_rate
2,Nuclear,Nuclear,gen_must_run,day,1,Uranium,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coal,Coal,gen_commit_cap,day,1,Coal,1,0.4,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CCGT,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CT,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind,Wind,gen_var,day,0,,,,,,,,,,,,,,,,,1,,0.5,0.5,0.5,0.5,,,,,,,,
2,Battery,Storage,stor,day,0,,,,,,,,,,,,,,0.8,0.8,1,,,,,,,,,,,,,,
2,Hydro,Hydro,gen_hydro,day,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2,Gas_CCGT_new,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CT_new,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Solar,Solar,gen_var,day,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2,Nuclear_z2,Nuclear,gen_must_run,day,1,Uranium,1,0.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Coal_z2,Coal,gen_commit_cap,day,1,Coal,1,,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CCGT_z2,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CT_z2,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind_z2,Wind,gen_var,day,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2,Battery_z2,Storage,stor,day,0,,,,,,,,,,,,,,0.8,0.8,1,,,,,,,,,,,,,,
2,Gas_CCGT_new_z2,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2,Gas_CT_new_z2,Gas,gen_commit_cap,day,2,Gas,1,0.4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
2,Solar_new_z2,Solar,gen_var,day,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
