water_node,timepoint,exogenous_water_inflow_vol_per_sec
Water_Node_1,1,3
Water_Node_1,2,3
Water_Node_1,3,3
Water_Node_1,4,3
Water_Node_1,5,3
Water_Node_1,6,3
Water_Node_1,7,3
Water_Node_1,8,3
Water_Node_1,9,3
Water_Node_1,10,3
Water_Node_1,11,3
Water_Node_1,12,3
Water_Node_1,13,3
Water_Node_1,14,3
Water_Node_1,15,3
Water_Node_1,16,3
Water_Node_1,17,3
Water_Node_1,18,3
Water_Node_1,19,3
Water_Node_1,20,3
Water_Node_1,21,3
Water_Node_1,22,3
Water_Node_1,23,3
Water_Node_1,24,3
Water_Node_2,1,0.1
Water_Node_2,2,0.1
Water_Node_2,3,0.1
Water_Node_2,4,0.1
Water_Node_2,5,0.1
Water_Node_2,6,0.1
Water_Node_2,7,0.1
Water_Node_2,8,0.1
Water_Node_2,9,0.1
Water_Node_2,10,0.1
Water_Node_2,11,0.1
Water_Node_2,12,0.1
Water_Node_2,13,0.1
Water_Node_2,14,0.1
Water_Node_2,15,0.1
Water_Node_2,16,0.1
Water_Node_2,17,0.1
Water_Node_2,18,0.1
Water_Node_2,19,0.1
Water_Node_2,20,0.1
Water_Node_2,21,0.1
Water_Node_2,22,0.1
Water_Node_2,23,0.1
Water_Node_2,24,0.1
Water_Node_3,1,0.1
Water_Node_3,2,0.1
Water_Node_3,3,0.1
Water_Node_3,4,0.1
Water_Node_3,5,0.1
Water_Node_3,6,0.1
Water_Node_3,7,0.1
Water_Node_3,8,0.1
Water_Node_3,9,0.1
Water_Node_3,10,0.1
Water_Node_3,11,0.1
Water_Node_3,12,0.1
Water_Node_3,13,0.1
Water_Node_3,14,0.1
Water_Node_3,15,0.1
Water_Node_3,16,0.1
Water_Node_3,17,0.1
Water_Node_3,18,0.1
Water_Node_3,19,0.1
Water_Node_3,20,0.1
Water_Node_3,21,0.1
Water_Node_3,22,0.1
Water_Node_3,23,0.1
Water_Node_3,24,0.1
Water_Node_4,1,0.05
Water_Node_4,2,0.05
Water_Node_4,3,0.05
Water_Node_4,4,0.05
Water_Node_4,5,0.05
Water_Node_4,6,0.05
Water_Node_4,7,0.05
Water_Node_4,8,0.05
Water_Node_4,9,0.05
Water_Node_4,10,0.05
Water_Node_4,11,0.05
Water_Node_4,12,0.05
Water_Node_4,13,0.05
Water_Node_4,14,0.05
Water_Node_4,15,0.05
Water_Node_4,16,0.05
Water_Node_4,17,0.05
Water_Node_4,18,0.05
Water_Node_4,19,0.05
Water_Node_4,20,0.05
Water_Node_4,21,0.05
Water_Node_4,22,0.05
Water_Node_4,23,0.05
Water_Node_4,24,0.05
Water_Node_5,1,0.05
Water_Node_5,2,0.05
Water_Node_5,3,0.05
Water_Node_5,4,0.05
Water_Node_5,5,0.05
Water_Node_5,6,0.05
Water_Node_5,7,0.05
Water_Node_5,8,0.05
Water_Node_5,9,0.05
Water_Node_5,10,0.05
Water_Node_5,11,0.05
Water_Node_5,12,0.05
Water_Node_5,13,0.05
Water_Node_5,14,0.05
Water_Node_5,15,0.05
Water_Node_5,16,0.05
Water_Node_5,17,0.05
Water_Node_5,18,0.05
Water_Node_5,19,0.05
Water_Node_5,20,0.05
Water_Node_5,21,0.05
Water_Node_5,22,0.05
Water_Node_5,23,0.05
Water_Node_5,24,0.05
