weather_iteration,stage_id,timepoint,cap_factor
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,1,7,0.0
1,1,8,0.233579033
1,1,9,0.289864821
1,1,10,0.511380817
1,1,11,0.751147247
1,1,12,0.749111442
1,1,13,0.739458785
1,1,14,0.727871717
1,1,15,0.669124371
1,1,16,0.460753904
1,1,17,0.050994759
1,1,18,0.0
1,1,19,0.0
1,1,20,0.0
1,1,21,0.0
1,1,22,0.0
1,1,23,0.0
1,1,24,0.0
1,1,25,0.0
1,1,26,0.0
1,1,27,0.0
1,1,28,0.0
1,1,29,0.0
1,1,30,0.0
1,1,31,0.0
1,1,32,0.244202655
1,1,33,0.627353932
1,1,34,0.729133218
1,1,35,0.747554819
1,1,36,0.746962437
1,1,37,0.744566768
1,1,38,0.734738034
1,1,39,0.680715391
1,1,40,0.500090356
1,1,41,0.078674331
1,1,42,0.0
1,1,43,0.0
1,1,44,0.0
1,1,45,0.0
1,1,46,0.0
1,1,47,0.0
1,1,48,0.0
1,1,49,0.0
1,1,50,0.0
1,1,51,0.0
1,1,52,0.0
1,1,53,0.0
1,1,54,0.0
1,1,55,0.0
1,1,56,0.056696229
1,1,57,0.407385525
1,1,58,0.517618696
1,1,59,0.727086385
1,1,60,0.635078567
1,1,61,0.497351647
1,1,62,0.547015087
1,1,63,0.413557856
1,1,64,0.178015123
1,1,65,0.005358391
1,1,66,0.0
1,1,67,0.0
1,1,68,0.0
1,1,69,0.0
1,1,70,0.0
1,1,71,0.0
1,1,72,0.0
1,1,73,0.0
1,1,74,0.0
1,1,75,0.0
1,1,76,0.0
1,1,77,0.0
1,1,78,0.0
1,1,79,0.0
1,1,80,0.056696229
1,1,81,0.407385525
1,1,82,0.517618696
1,1,83,0.727086385
1,1,84,0.635078567
1,1,85,0.497351647
1,1,86,0.547015087
1,1,87,0.413557856
1,1,88,0.178015123
1,1,89,0.005358391
1,1,90,0.0
1,1,91,0.0
1,1,92,0.0
1,1,93,0.0
1,1,94,0.0
1,1,95,0.0
1,1,96,0.0
1,1,97,0.0
1,1,98,0.0
1,1,99,0.0
1,1,100,0.0
1,1,101,0.0
1,1,102,0.0
1,1,103,0.0
1,1,104,0.233248941
1,1,105,0.604101815
1,1,106,0.704489346
1,1,107,0.698660351
1,1,108,0.718087227
1,1,109,0.593259543
1,1,110,0.538512882
1,1,111,0.428094618
1,1,112,0.37409802
1,1,113,0.032850553
1,1,114,0.0
1,1,115,0.0
1,1,116,0.0
1,1,117,0.0
1,1,118,0.0
1,1,119,0.0
1,1,120,0.0
1,1,121,0.0
1,1,122,0.0
1,1,123,0.0
1,1,124,0.0
1,1,125,0.0
1,1,126,0.0
1,1,127,0.0
1,1,128,0.056696229
1,1,129,0.407385525
1,1,130,0.517618696
1,1,131,0.727086385
1,1,132,0.635078567
1,1,133,0.497351647
1,1,134,0.547015087
1,1,135,0.413557856
1,1,136,0.178015123
1,1,137,0.005358391
1,1,138,0.0
1,1,139,0.0
1,1,140,0.0
1,1,141,0.0
1,1,142,0.0
1,1,143,0.0
1,1,144,0.0
1,1,145,0.0
1,1,146,0.0
1,1,147,0.0
1,1,148,0.0
1,1,149,0.0
1,1,150,0.0
1,1,151,0.0
