subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,horizon_day
1,1,20200101,2020,1,1,,,1,1,202001
1,1,20200102,2020,1,1,,,1,2,202001
1,1,20200103,2020,1,1,,,1,3,202001
1,1,20200104,2020,1,1,,,1,4,202001
1,1,20200105,2020,1,1,,,1,5,202001
1,1,20200106,2020,1,1,,,1,6,202001
1,1,20200107,2020,1,1,,,1,7,202001
1,1,20200108,2020,1,1,,,1,8,202001
1,1,20200109,2020,1,1,,,1,9,202001
1,1,20200110,2020,1,1,,,1,10,202001
1,1,20200111,2020,1,1,,,1,11,202001
1,1,20200112,2020,1,1,,,1,12,202001
1,1,20200113,2020,1,1,,,1,13,202001
1,1,20200114,2020,1,1,,,1,14,202001
1,1,20200115,2020,1,1,,,1,15,202001
1,1,20200116,2020,1,1,,,1,16,202001
1,1,20200117,2020,1,1,,,1,17,202001
1,1,20200118,2020,1,1,,,1,18,202001
1,1,20200119,2020,1,1,,,1,19,202001
1,1,20200120,2020,1,1,,,1,20,202001
1,1,20200121,2020,1,1,,,1,21,202001
1,1,20200122,2020,1,1,,,1,22,202001
1,1,20200123,2020,1,1,,,1,23,202001
1,1,20200124,2020,1,1,,,1,24,202001
2,1,20200201,2020,1,1,,,2,1,202002
2,1,20200202,2020,1,1,,,2,2,202002
2,1,20200203,2020,1,1,,,2,3,202002
2,1,20200204,2020,1,1,,,2,4,202002
2,1,20200205,2020,1,1,,,2,5,202002
2,1,20200206,2020,1,1,,,2,6,202002
2,1,20200207,2020,1,1,,,2,7,202002
2,1,20200208,2020,1,1,,,2,8,202002
2,1,20200209,2020,1,1,,,2,9,202002
2,1,20200210,2020,1,1,,,2,10,202002
2,1,20200211,2020,1,1,,,2,11,202002
2,1,20200212,2020,1,1,,,2,12,202002
2,1,20200213,2020,1,1,,,2,13,202002
2,1,20200214,2020,1,1,,,2,14,202002
2,1,20200215,2020,1,1,,,2,15,202002
2,1,20200216,2020,1,1,,,2,16,202002
2,1,20200217,2020,1,1,,,2,17,202002
2,1,20200218,2020,1,1,,,2,18,202002
2,1,20200219,2020,1,1,,,2,19,202002
2,1,20200220,2020,1,1,,,2,20,202002
2,1,20200221,2020,1,1,,,2,21,202002
2,1,20200222,2020,1,1,,,2,22,202002
2,1,20200223,2020,1,1,,,2,23,202002
2,1,20200224,2020,1,1,,,2,24,202002
